DEPARRDT,DEPARRTM,OPRSSRTTMDIFR,OPRSENDTMDIFR,hour2min,time,working_time,min,hour
20190101,1450.0,[-50],[5],890,[840],55,0,14
20190101,1350.0,[-5],[40],830,[825],45,45,13
20190101,1515.0,[-5],[40],915,[910],45,10,15
20190101,1615.0,[-50],[5],975,[925],55,25,15
20190101,1135.0,[-50],[5],695,[645],55,45,10
20190101,1430.0,[-5],[40],870,[865],45,25,14
20190101,1930.0,[-5],[40],1170,[1165],45,25,19
20190101,1325.0,[-5],[40],805,[800],45,20,13
20190101,1535.0,[-50],[5],935,[885],55,45,14
20190101,1630.0,[-5],[40],990,[985],45,25,16
20190101,705.0,[-5],[40],425,[420],45,0,7
20190101,1055.0,[-5],[40],655,[650],45,50,10
20190101,1435.0,[-50],[5],875,[825],55,45,13
20190101,1730.0,[-50],[5],1050,[1000],55,40,16
20190101,2040.0,[-50],[5],1240,[1190],55,50,19
20190101,1210.0,[-50],[5],730,[680],55,20,11
20190101,425.0,[-5],[40],265,[260],45,20,4
20190101,615.0,[-50],[5],375,[325],55,25,5
20190101,1625.0,[-5],[40],985,[980],45,20,16
20190101,1250.0,[-50],[5],770,[720],55,0,12
20190101,1755.0,[-5],[40],1075,[1070],45,50,17
20190101,1135.0,[-5],[40],695,[690],45,30,11
20190101,1900.0,[-5],[40],1140,[1135],45,55,18
20190101,1120.0,[-50],[5],680,[630],55,30,10
20190101,1150.0,[-5],[40],710,[705],45,45,11
20190101,1150.0,[-5],[40],710,[705],45,45,11
20190101,725.0,[-5],[40],445,[440],45,20,7
20190101,2035.0,[-5],[40],1235,[1230],45,30,20
20190101,1855.0,[-50],[5],1135,[1085],55,5,18
20190101,2320.0,[-50],[5],1400,[1350],55,30,22
20190101,2205.0,[-50],[5],1325,[1275],55,15,21
20190101,2000.0,[-50],[5],1200,[1150],55,10,19
20190101,1200.0,[-50],[5],720,[670],55,10,11
20190101,1045.0,[-50],[5],645,[595],55,55,9
20190101,1250.0,[-50],[5],770,[720],55,0,12
20190101,1245.0,[-50],[5],765,[715],55,55,11
20190101,1105.0,[-5],[40],665,[660],45,0,11
20190101,1020.0,[-5],[40],620,[615],45,15,10
20190101,2105.0,[-5],[40],1265,[1260],45,0,21
20190101,1650.0,[-5],[40],1010,[1005],45,45,16
20190101,1810.0,[-50],[5],1090,[1040],55,20,17
20190101,1055.0,[-50],[5],655,[605],55,5,10
20190101,2220.0,[-5],[40],1340,[1335],45,15,22
20190101,1215.0,[-5],[40],735,[730],45,10,12
20190101,1320.0,[-50],[5],800,[750],55,30,12
20190101,1725.0,[-50],[5],1045,[995],55,35,16
20190101,1510.0,[-50],[5],910,[860],55,20,14
20190101,1410.0,[-5],[40],850,[845],45,5,14
20190101,1830.0,[-40],[5],1110,[1070],45,50,17
20190101,1015.0,[-40],[5],615,[575],45,35,9
20190101,1515.0,[-5],[40],915,[910],45,10,15
20190101,1925.0,[-40],[5],1165,[1125],45,45,18
20190101,940.0,[-5],[40],580,[575],45,35,9
20190101,1220.0,[-5],[40],740,[735],45,15,12
20190101,1245.0,[-40],[5],765,[725],45,5,12
20190101,1405.0,[-40],[5],845,[805],45,25,13
20190101,1315.0,[-5],[40],795,[790],45,10,13
20190101,1530.0,[-40],[5],930,[890],45,50,14
20190101,1245.0,[-40],[5],765,[725],45,5,12
20190101,1005.0,[-40],[5],605,[565],45,25,9
20190101,1715.0,[-5],[40],1035,[1030],45,10,17
20190101,645.0,[-5],[40],405,[400],45,40,6
20190101,1310.0,[-5],[40],790,[785],45,5,13
20190101,715.0,[-5],[40],435,[430],45,10,7
20190101,845.0,[-40],[5],525,[485],45,5,8
20190101,2035.0,[-40],[5],1235,[1195],45,55,19
20190101,1110.0,[-50],[5],670,[620],55,20,10
20190101,2205.0,[-5],[50],1325,[1320],55,0,22
20190101,2025.0,[-50],[5],1225,[1175],55,35,19
20190101,815.0,[-50],[5],495,[445],55,25,7
20190101,855.0,[-50],[5],535,[485],55,5,8
20190101,1150.0,[-5],[50],710,[705],55,45,11
20190101,2235.0,[-5],[50],1355,[1350],55,30,22
20190101,1840.0,[-50],[5],1120,[1070],55,50,17
20190101,1505.0,[-5],[50],905,[900],55,0,15
20190101,1905.0,[-50],[5],1145,[1095],55,15,18
20190101,1805.0,[-50],[5],1085,[1035],55,15,17
20190101,2115.0,[-5],[50],1275,[1270],55,10,21
20190101,910.0,[-50],[5],550,[500],55,20,8
20190101,1805.0,[-50],[5],1085,[1035],55,15,17
20190101,1720.0,[-5],[50],1040,[1035],55,15,17
20190101,2010.0,[-50],[5],1210,[1160],55,20,19
20190101,1905.0,[-50],[5],1145,[1095],55,15,18
20190101,920.0,[-50],[5],560,[510],55,30,8
20190101,1645.0,[-5],[50],1005,[1000],55,40,16
20190101,1700.0,[-5],[50],1020,[1015],55,55,16
20190101,1305.0,[-50],[5],785,[735],55,15,12
20190101,1735.0,[-5],[50],1055,[1050],55,30,17
20190101,835.0,[-50],[5],515,[465],55,45,7
20190101,1815.0,[-50],[5],1095,[1045],55,25,17
20190101,1835.0,[-50],[5],1115,[1065],55,45,17
20190101,1725.0,[-5],[50],1045,[1040],55,20,17
20190101,1250.0,[-50],[5],770,[720],55,0,12
20190101,1655.0,[-5],[50],1015,[1010],55,50,16
20190101,1800.0,[-50],[5],1080,[1030],55,10,17
20190101,2000.0,[-50],[5],1200,[1150],55,10,19
20190101,2115.0,[-5],[50],1275,[1270],55,10,21
20190101,1000.0,[-50],[5],600,[550],55,10,9
20190101,1835.0,[-5],[50],1115,[1110],55,30,18
20190101,1425.0,[-5],[50],865,[860],55,20,14
20190101,1110.0,[-50],[5],670,[620],55,20,10
20190101,1700.0,[-5],[50],1020,[1015],55,55,16
20190101,1720.0,[-50],[5],1040,[990],55,30,16
20190101,610.0,[-5],[50],370,[365],55,5,6
20190101,455.0,[-5],[50],295,[290],55,50,4
20190101,535.0,[-5],[50],335,[330],55,30,5
20190101,920.0,[-5],[50],560,[555],55,15,9
20190101,520.0,[-5],[50],320,[315],55,15,5
20190101,805.0,[-50],[5],485,[435],55,15,7
20190101,535.0,[-5],[50],335,[330],55,30,5
20190101,1950.0,[-5],[50],1190,[1185],55,45,19
20190101,2305.0,[-5],[50],1385,[1380],55,0,23
20190101,20.0,[-50],[5],20,[-30],55,30,0
20190101,1005.0,[-5],[50],605,[600],55,0,10
20190101,1520.0,[-5],[50],920,[915],55,15,15
20190101,1625.0,[-50],[5],985,[935],55,35,15
20190101,1120.0,[-50],[5],680,[630],55,30,10
20190101,910.0,[-5],[50],550,[545],55,5,9
20190101,1135.0,[-50],[5],695,[645],55,45,10
20190101,2055.0,[-50],[5],1255,[1205],55,5,20
20190101,1450.0,[-5],[50],890,[885],55,45,14
20190101,1150.0,[-5],[50],710,[705],55,45,11
20190101,1955.0,[-5],[50],1195,[1190],55,50,19
20190101,820.0,[-5],[50],500,[495],55,15,8
20190101,1035.0,[-50],[5],635,[585],55,45,9
20190101,915.0,[-5],[50],555,[550],55,10,9
20190101,1555.0,[-50],[5],955,[905],55,5,15
20190101,830.0,[-5],[50],510,[505],55,25,8
20190101,1250.0,[-50],[5],770,[720],55,0,12
20190101,1305.0,[-50],[5],785,[735],55,15,12
20190101,935.0,[-50],[5],575,[525],55,45,8
20190101,1620.0,[-5],[50],980,[975],55,15,16
20190101,635.0,[-5],[50],395,[390],55,30,6
20190101,1120.0,[-50],[5],680,[630],55,30,10
20190101,935.0,[-50],[5],575,[525],55,45,8
20190101,605.0,[-5],[50],365,[360],55,0,6
20190101,1035.0,[-50],[5],635,[585],55,45,9
20190101,1015.0,[-50],[5],615,[565],55,25,9
20190101,545.0,[-5],[50],345,[340],55,40,5
20190101,1050.0,[-50],[5],650,[600],55,0,10
20190101,530.0,[-5],[50],330,[325],55,25,5
20190101,630.0,[-5],[50],390,[385],55,25,6
20190101,1630.0,[-5],[50],990,[985],55,25,16
